,Date,User,Tweet
63,2019-09-05 06:37:50+00:00,equalitynow_ug,"We condemn the saddening, horrofic, events from #SouthAfrica

#XenophobicAttacks spread fear in society, birthing inequalities.

Let #PeaceAndLove prevail. NOW

#XenophobiaSouthAfrica #XenophobicAttack #Xenophia #southafricaxenophobia #SouthAfricans 

@Oxfam @CyrilRamaphosa @UN https://t.co/sH5VrujXvB"
64,2019-09-05 06:21:50+00:00,AkinwunmiOlaniy,".@realDonaldTrump Hi, I can guess what you would do as President of America if one American is killed, but say you were President of Nigeria and a Nigerian is killed over #Xenophia how would you have responded to the #XenophobiaSouthAfrica attacks on your citizen? https://t.co/eDEBsIhspR"
65,2019-09-05 06:21:02+00:00,PhrankieEfkay,The Labour of our Heroes Past shall never be in vain. #XenophobiaInSouthAfrica #SouthAfricans #Nigerians #SayNoToXenophobiaAttacks #Xenophia #BBNaija19 #WEFAfrica19 #TBThursday #StopXenophobia #SayNoToViolence #dino #SeyiMakinde
66,2019-09-04 21:08:46+00:00,_amood_,"How did you call it in your mother tongue?
#AfricaUnite #Nigeria #Xenophia #weed https://t.co/dFSkwXQARl"
67,2019-09-04 20:06:32+00:00,wawaithirah,A rare picture of  tupac shakur and @MigunaMiguna  😂😂..  #JKLive  #Xenophia #XenephobicAttacks https://t.co/IaqChqoUlF
68,2019-09-04 19:56:22+00:00,stumbue,"@IntePhuzayo @_Zulu_Girl @MYANC Let's educate a few #SouthAfricans who the drug dealers actually are #WEFAfrica19 #DearMrPresident #XenophobicAttack #sabcnews #shutdownsouthafrica #Xenophia @PresJGZuma , after reading this , come back then we can talk again , knowledge is always available, we lazy to find it https://t.co/s94vAkLRj0"
69,2019-09-04 19:56:13+00:00,busishange,Let Africa unite when there are no failed states. When each country has fixed it's shit. Not before. Otherwise we just transfer the failure. That's all. #Xenophia
70,2019-09-04 19:00:52+00:00,sotimoola01,"@phunky___ @phunky pls u forget to add the antenna.make sure u burn am join,NO #Xenophia"
71,2019-09-04 18:54:42+00:00,stumbue,"#XenophobicAttack #Xenophia by #SouthAfricans seems to be part of #DearMrPresident @CyrilRamaphosa plan to divert attention frm #CR17BankStatements, his absence in all this is suspect  #shutdownsouthafrica #WEFAfrica19 #StopXenophobia https://t.co/ON6vWudhPE"
72,2019-09-04 18:16:22+00:00,DoitrytP,@AdaaMazii Africa is sitting on a keg of gun powder......#Xenophia
73,2019-09-04 17:28:38+00:00,SandemBiik,"@thesignalng Having heard senseless Bongani Mkongi ''deputy minister of Police of south Africa'' , I hereby pronounce him un-African, unfit for leadership, ignorant and selfish; until he apologizes to the citizens of Africa and the world. God save #MotherAfrica #Xenophia #LoveConquersAll"
74,2019-09-04 16:26:57+00:00,LucMakururu,@MwanaWachihera @matigary @Julius_S_Malema @CyrilRamaphosa @tafadzwamarere @wef @PaulKagame @MinisterSBMoyo @xandatoto @Mavhure @maDube_ He also doesn't want black Africans in SA. He hates them with passion. This is not the first time #xenophia happening is his country.what measures did he put in place to stop recurrences.
75,2019-09-04 14:58:00+00:00,downundergooner,Dear #XenophobicAttacks #Xenophia people. Divide and conquer is someone's goal of us as the motherland  😤😤😤 https://t.co/Mml7WoO2Xo
76,2019-09-04 14:40:29+00:00,queenLibra_cfa,#SayNoToXenophobia #SayNoToXenophobicAttacks #Xenophobia #XenophobiaAttack #XenophobicAttacks #XenophobiaInSouthAfrica #Xenophobic #Xenophia #xenophobiaattacks https://t.co/LjmeR2IRNh
77,2019-09-04 14:02:38+00:00,Ganijuru_Rw,"#Xenophia 
@PanAfricanRevie https://t.co/dTiaslznyn"
78,2019-09-04 13:59:36+00:00,WorldFamousLuca,This people don’t know Nigeria is their pillar. #Xenophia
79,2019-09-04 13:54:25+00:00,owen_olawale7,To those burning @MTNNG mast and offices pls endeavour to kill that girl that always say 1 minute remaining pls kill her #xenophobiaattacks #Xenophia #AfricaUnite
80,2019-09-04 13:49:25+00:00,Mujona,"@freemanchari #territorial wars , #Xenophia wars. Which is which #jerusalemthefilm jorburg CBD"
81,2019-09-04 13:41:35+00:00,BOCHSYSTEM,"Our thoughts and prayer are with the victims of the #XenophobicAttacks in South Africa....
We join our voice with other African countries to say no to #Xenophia.

May God heal our land."
82,2019-09-04 13:39:05+00:00,ShadrackAmonooC,Wizkid is nicely and sensibly Addressing the #Xenophia Issue with a lot of “JABS” 😂🤣😂
83,2019-09-04 13:28:58+00:00,HaineWayne,"#Xenophia #SJW #Leftists #wordpolice #activists
AFTER THEY HAVE CAME FOR EVERYONE ELSE THEY WILL COME AGAIN AND YOU WILL 
BE ONLY ONES LEFT."
84,2019-09-04 13:21:27+00:00,Ibraheem_Mukt,"Please duk wadda xae daena ampani da layin MTN yakawo min na cinye Datan ciki please 🙏
#Xenophia"
85,2019-09-04 12:56:01+00:00,iheme_emmanuel,"This is just the beginning, they will close permanently by the time the protest and reaction intensifies much stronger. #Xenophia https://t.co/qlmq3k8d1l"
